Field Number,Year,Plant Species Name,Common name,Weight (g),Displacement Volume (mL),Processed by,Processing date,Entered by,Date entered,Audited by,Date audited
2023-LCS-NWA-220823-006A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-001A,2023,Nymphaea sp.,"Water lily, white",14.8,20,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-001A,2023,Ceratophyllum demersum,Coontail,0.5,2,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-001A,2023,Lemna trisulca,"Duckweed, star",0.1,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-001A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-002A,2023,Ceratophyllum demersum,Coontail,1,2,J. Parker,12/13/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-003A,2023,Nymphaea sp.,"Water lily, white",178.3,200,J. Parker,12/13/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-003A,2023,Hydrocharis morsus-ranae,European frog-bit,28.6,35,J. Parker,12/13/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-003A,2023,Ceratophyllum demersum,Coontail,11.4,14,J. Parker,12/13/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-003A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/13/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-004A,2023,Nymphaea sp.,White water lily,-,-,J. Parker,12/13/2023,R. Gaspardy,1/23/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-004A,2023,Ceratophyllum demersum,Coontail,-,-,J. Parker,12/13/2023,R. Gaspardy,1/23/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-004A,2023,Elodea canadensis,Canada waterweed,-,-,J. Parker,12/13/2023,R. Gaspardy,1/23/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-005A,2023,Ceratophyllum demersum,Coontail,14.7,18,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-005A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-240823-006A,2023,No Vegetation ,No Vegetation ,NA,NA,NA,NA,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-001A,2023,Nymphaea sp.,"Water lily, white",32.8,36,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-002A,2023,Ceratophyllum demersum,Coontail,3.5,4,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-003A,2023,Ceratophyllum demersum,Coontail,0.2,0,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-004A,2023,Nymphaea sp.,"Water lily, white",88.4,100,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-004A,2023,Hydrocharis morsus-ranae,European frog-bit,0.7,0,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-004A,2023,Ceratophyllum demersum,Coontail,8.9,16,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-004A,2023,Lemna trisulca,"Duckweed, star",0.3,0,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-004A,2023,Utricularia sp.,Bladderwort sp.,8.1,8,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-005A,2023,Nymphaea sp.,"Water lily, white",170.4,230,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-280823-006A,2023,No Vegetation ,No Vegetation ,NA,NA,NA,NA,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-001A,2023,No Vegetation ,No Vegetation ,NA,NA,NA,NA,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-002A,2023,Ceratophyllum demersum,Coontail,3.9,6,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-002A,2023,Nymphaea sp.,"Water lily, white",43.4,50,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-002A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-003A,2023,No Vegetation ,No Vegetation ,NA,NA,NA,NA,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-004A,2023,Ceratophyllum demersum,Coontail,16.5,16,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-005A,2023,Nymphaea sp.,"Water lily, white",204.4,250,J. Parker,12/19/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-006A,2023,Ceratophyllum demersum,Coontail,80.2,80,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-006A,2023,Nymphaea sp.,"Water lily, white",74.2,75,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-006A,2023,Hydrocharis morsus-ranae,European frog-bit,1,0,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-006A,2023,Potamogeton pusillus,"Pondweed, slender",0.7,0,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-290823-006A,2023,Utricularia sp.,Bladderwort sp.,135,130,J. Parker,12/21/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-001A,2023,Ceratophyllum demersum,Coontail,26.2,30,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-001A,2023,Lemna trisulca,"Duckweed, star",7.3,6,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-001A,2023,Hydrocharis morsus-ranae,European frog-bit,49.9,60,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-001A,2023,Nymphaea sp.,"Water lily, white",270.6,330,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-002A,2023,Ceratophyllum demersum,Coontail,2,2,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-002A,2023,Nymphaea sp.,"Water lily, white",98.5,110,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-002A,2023,Hydrocharis morsus-ranae,European frog-bit,321.7,400,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-003A,2023,Ceratophyllum demersum,Coontail,18.4,20,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-003A,2023,Stuckenia pectinatus,"Pondweed, Sago",33.5,35,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-003A,2023,Lemna trisulca,"Duckweed, star",10.1,12,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-003A,2023,Utricularia sp.,Bladderwort sp.,107,105,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-004A,2023,Lemna trisulca,"Duckweed, star",1.1,0,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-004A,2023,Nymphaea sp.,"Water lily, white",3.2,4,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-004A,2023,Ceratophyllum demersum,Coontail,22.6,26,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-004A,2023,Potamogeton pusillus,"Pondweed, slender",10.6,12,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-004A,2023,Nelumbo lutea,"Lotus, American",329.8,380,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-005A,2023,Nelumbo lutea,"Lotus, American",16.7,26,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-005A,2023,Ceratophyllum demersum,Coontail,225,230,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-005A,2023,Nymphaea sp.,"Water lily, white",52.5,55,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-005A,2023,Lemna trisulca,"Duckweed, star",0,0,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-005A,2023,Lemna sp.,Duckweed sp.,0,0,J. Parker,1/2/2024,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-006A,2023,Nelumbo lutea,"Lotus, American",28.1,40,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
2023-LCS-NWA-300823-006A,2023,Ceratophyllum demersum,Coontail,2.4,0,J. Parker,12/18/2023,J. Parker,1/4/2024,R. Gaspardy,1/23/2024
