Project Name,Year,Day,Month,Field Number,Bin Number,Species,Total Length (mm),Total Weight (g)
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,150,77.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,150,69.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,167,97.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,155,70.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,-1,-1
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,152,75.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,154,76
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,140,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,166,92.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,161,97.7
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,183,164.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,176,136.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,160,87
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,170,104.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,160,90.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,156,77.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,187,130
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,180,110
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,170,110
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,160,90
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,155,80
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,150,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,177,120
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Lepomis gibbosus,146,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Micropterus nigricans,318,460
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Ameiurus melas,318,430
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-001A,1,Ameiurus natalis,296,410
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Pomoxis nigromaculatus,197,120
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis macrochirus,39,0.75
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis macrochirus,37,0.66
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Amia ocellicauda,580,1750
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Erimyzon sucetta,52,1.06
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Erimyzon sucetta,49,1.03
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Erimyzon sucetta,51,1.17
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Erimyzon sucetta,54,1.26
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,45,1.22
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,46,1.36
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,36,0.69
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,48,1.55
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,44,1.21
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,45,1.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,36,0.61
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,38,0.88
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,34,0.57
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,39,0.88
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,35,0.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,37,0.59
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,185,150
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,172,100
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,153,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,47,1.59
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,40,0.87
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,37,0.71
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,32,0.4
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis gibbosus,39,0.73
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis sp,35,0.55
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis sp,42,1.04
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis sp,37,0.66
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis sp,34,0.62
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-002A,1,Lepomis sp,36,0.62
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Pomoxis nigromaculatus,282,180
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis macrochirus,190,130
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis gibbosus,94,14.37
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis gibbosus,44,1.25
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis gibbosus,143,55.6
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis gibbosus,45,1.29
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis gibbosus,44,1.12
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis gibbosus,45,1.32
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-004A,1,Lepomis gibbosus,43,1.01
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Pomoxis nigromaculatus,230,210
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Pomoxis nigromaculatus,195,120
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Pomoxis nigromaculatus,157,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis macrochirus,138,50
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis macrochirus,154,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis macrochirus,125,40
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis macrochirus,150,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis macrochirus,189,160
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis macrochirus,186,150
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Amia ocellicauda,432,650
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Amia ocellicauda,454,1390
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Amia ocellicauda,423,590
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Erimyzon sucetta,177,81.2
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,46,1.48
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,141,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,195,170
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,154,80
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,157,80
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,164,90
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,157,90
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,160,90
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,155,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,160,90
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,160,80
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,150,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,145,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,167,90
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Lepomis gibbosus,178,130
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Micropterus nigricans,308,400
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Ameiurus melas,315,430
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-005A,1,Ameiurus melas,215,330
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Pomoxis nigromaculatus,230,190
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,450,790
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,394,530
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,403,520
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,412,580
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,451,700
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,417,590
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,493,830
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Amia ocellicauda,455,820
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,142,40
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,103,19.42
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,165,80
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,148,50
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,186,150
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,184,150
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,125,40
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,147,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,160,90
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,159,80
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Lepomis gibbosus,146,50
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-240823-006A,1,Ameiurus melas,316,470
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Pomoxis nigromaculatus,76,5.48
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Pomoxis nigromaculatus,176,58.13
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Pomoxis nigromaculatus,212,140
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Pomoxis nigromaculatus,140,36.8
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis macrochirus,154,68.21
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis macrochirus,133,44.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis macrochirus,136,47.77
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis macrochirus,155,76.43
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis macrochirus,146,56.86
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Amia ocellicauda,432,720
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Erimyzon sucetta,125,24.24
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Erimyzon sucetta,125,25.97
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Erimyzon sucetta,242,170
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,88,12.37
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,111,25.88
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,88,11.75
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,67,4.5
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,159,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,77,7.86
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,128,39.11
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,125,37.16
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,155,65.28
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,147,63.93
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,146,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,184,120
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,128,41.23
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis gibbosus,42,1.06
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-001A,1,Lepomis sp,35,0.68
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Lepomis macrochirus,44,1.13
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Lepomis macrochirus,43,1.09
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Lepomis macrochirus,150,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Amia ocellicauda,545,1180
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Amia ocellicauda,477,880
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Amia ocellicauda,538,1270
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Amia ocellicauda,452,780
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Amia ocellicauda,546,1370
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Amia ocellicauda,558,1740
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Amia ocellicauda,550,1460
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Lepomis sp,25,0.15
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Lepomis sp,22,0.15
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Lepomis sp,26,0.22
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-002A,1,Lepomis sp,32,0.42
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Pomoxis nigromaculatus,241,220
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Pomoxis nigromaculatus,240,210
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Pomoxis nigromaculatus,145,50
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Pomoxis nigromaculatus,65,3.44
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis macrochirus,167,80
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis macrochirus,180,120
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis macrochirus,144,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis macrochirus,144,50
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis macrochirus,150,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Amia ocellicauda,443,750
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Amia ocellicauda,411,600
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Amia ocellicauda,485,990
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis gibbosus,130,44.03
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis gibbosus,86,11.53
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis gibbosus,128,39.16
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis gibbosus,163,60
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Lepomis gibbosus,160,70
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-003A,1,Notemigonus crysoleucas,105,10.94
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Pomoxis nigromaculatus,229,0.19
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis macrochirus,35,0.62
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis macrochirus,174,110
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis macrochirus,180,130
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis macrochirus,35,0.64
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis macrochirus,49,1.78
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis macrochirus,39,0.83
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Amia ocellicauda,634,1850
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Amia ocellicauda,578,1690
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Amia ocellicauda,585,1870
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Amia ocellicauda,550,1420
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Amia ocellicauda,530,1280
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis gibbosus,39,0.89
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis gibbosus,36,0.64
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,37,0.85
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,37,0.77
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,38,1.02
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,28,0.37
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,30,0.36
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,32,0.45
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,50,1.85
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-004A,1,Lepomis sp,35,0.57
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-005A,1,Lepomis macrochirus,96,13.75
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-005A,1,Amia ocellicauda,349,350
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-005A,1,Amia ocellicauda,561,1630
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-005A,1,Lepomis gibbosus,84,10.85
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-005A,1,Lepomis gibbosus,73,6.34
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-005A,1,Lepomis gibbosus,52,2.31
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-005A,1,Lepomis gibbosus,135,46.87
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Amia ocellicauda,466,300
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Erimyzon sucetta,138,34.07
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Lepomis gibbosus,84,10.86
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Lepomis gibbosus,111,24.08
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Lepomis gibbosus,75,6.82
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Lepomis gibbosus,84,10.3
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Lepomis gibbosus,72,6.15
2023 Lake Chubsucker - St. Clair NWA,2023,23,August,2023-LCS-NWA-280823-006A,1,Lepomis gibbosus,120,33.44
